article_id,title,system_prediction,human_label,is_verified
vnexpress_search_1767091906_1,Luật Trí tuệ nhân tạo,NOT_ANALYZED,,False
vnexpress_search_1767091906_2,"Luật Trí tuệ nhân tạo - bước tiến về quản lý, phát triển AI cho Việt Nam",NOT_ANALYZED,,False
vnexpress_search_1767091906_3,Việt Nam sẽ có Luật về Trí tuệ nhân tạo,NOT_ANALYZED,,False
vnexpress_search_1767091906_4,10 luật về khoa học công nghệ được thông qua năm 2025,NOT_ANALYZED,,False
vnexpress_search_1767091906_5,Phát triển trí tuệ nhân tạo 'vì con người',NOT_ANALYZED,,False
vnexpress_search_1767091906_6,Cấm lợi dụng trí tuệ nhân tạo gây hại trẻ em,NOT_ANALYZED,,False
vnexpress_search_1767091906_7,Hoạt động trí tuệ nhân tạo sẽ hưởng ưu đãi và hỗ trợ cao nhất,NOT_ANALYZED,,False
vnexpress_search_1767092026_1,GS Toby Walsh: 'Nguy cơ các quốc gia bị đô hộ số',NOT_ANALYZED,,False
vnexpress_search_1767092026_2,"Đề xuất cấm phát triển AI 'thao túng nhận thức, hành vi' con người",NOT_ANALYZED,,False
vnexpress_search_1767092026_3,'Việt Nam có thể thuộc nhóm quốc gia có luật AI sớm nhất',NOT_ANALYZED,,False
vnexpress_search_1767092026_4,Việt Nam sẽ có Trung tâm siêu tính toán AI quốc gia,NOT_ANALYZED,,False
vnexpress_search_1767092026_5,5 dự luật mới về khoa học công nghệ,NOT_ANALYZED,,False
vnexpress_search_1767092026_6,20 đại học dạy Trí tuệ nhân tạo tốt nhất thế giới,NOT_ANALYZED,,False
vnexpress_search_1767092026_7,Những sinh viên đầu tiên tốt nghiệp ngành Trí tuệ nhân tạo,NOT_ANALYZED,,False
vnexpress_search_1767092026_8,Luật sư 'dính họa' vì bị AI bịa 4 vụ án về mình,NOT_ANALYZED,,False
vnexpress_search_1767092026_9,Microsoft lập nhóm Siêu trí tuệ MAI,NOT_ANALYZED,,False
vnexpress_search_1767094176_1,Luật Công nghiệp công nghệ số,NOT_ANALYZED,,False
vnexpress_search_1767094176_10,'Doanh nghiệp công nghệ có sứ mệnh đưa Việt Nam tiên phong trong kỷ nguyên số',NOT_ANALYZED,,False
vnexpress_search_1767094176_11,Sàn giao dịch tiền số có giống một ngân hàng?,NOT_ANALYZED,,False
vnexpress_search_1767094176_12,Bitcoin và tiền số có phải là một?,NOT_ANALYZED,,False
vnexpress_search_1767094176_13,"Tài sản số, tiền mã hóa được bảo vệ như tài sản thực",NOT_ANALYZED,,False
vnexpress_search_1767094176_14,"Nền tảng pháp lý cho khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số thành hình",NOT_ANALYZED,,False
vnexpress_search_1767094176_15,Bạn hiểu bao nhiêu về Bitcoin?,NOT_ANALYZED,,False
vnexpress_search_1767094176_16,Token hóa tài sản có lợi ích gì?,NOT_ANALYZED,,False
vnexpress_search_1767094176_17,"Agribank ưu đãi vốn cho doanh nghiệp đầu tư hạ tầng, công nghệ số",NOT_ANALYZED,,False
vnexpress_search_1767094176_18,Luật công nghệ số đặt nền móng cho ngành bán dẫn Việt Nam,NOT_ANALYZED,,False
vnexpress_search_1767094176_19,Chính phủ dự kiến phân loại cụ thể tài sản mã hóa để quản lý,NOT_ANALYZED,,False
vnexpress_search_1767094176_2,Quốc hội thông qua Luật Công nghiệp công nghệ số,NOT_ANALYZED,,False
vnexpress_search_1767094176_20,Nam Long: Công nghệ chuyển dịch cách quản trị bất động sản,NOT_ANALYZED,,False
vnexpress_search_1767094176_21,Điểm mới trong bức tranh công nghệ tại Việt Nam 2025,NOT_ANALYZED,,False
vnexpress_search_1767094176_22,Mỗi hecta khu công nghệ số đem lại 10 triệu USD mỗi năm,NOT_ANALYZED,,False
vnexpress_search_1767094176_23,Loạt ưu đãi dành cho khu công nghệ số tập trung,NOT_ANALYZED,,False
vnexpress_search_1767094176_3,Quốc hội thông qua Luật Công nghiệp công nghệ số,NOT_ANALYZED,,False
vnexpress_search_1767094176_4,Đồng Nai sẽ có khu công nghiệp công nghệ số,NOT_ANALYZED,,False
vnexpress_search_1767094176_5,Doanh nghiệp công nghệ số được hưởng ưu đãi gì?,NOT_ANALYZED,,False
vnexpress_search_1767094176_6,Công nghiệp công nghệ số là lực lượng sản xuất mới trong kỷ nguyên số của nhân loại,NOT_ANALYZED,,False
vnexpress_search_1767094176_7,Thúc đẩy thử nghiệm blockchain tại Việt Nam,NOT_ANALYZED,,False
vnexpress_search_1767094176_8,Cơ hội hình thành ngành công nghiệp tài sản số tại Việt Nam,NOT_ANALYZED,,False
vnexpress_search_1767094176_9,Tài sản số được pháp luật công nhận ra sao?,NOT_ANALYZED,,False
